item_id,category_name,item_description,item_title,business_line,tf_code
1398994,حلوا و خرما,"100 تا 110 عدد، حلوا میکس، ویفری، رولتی، کنجدی، حلوا برشتوک، مناسب مراسم مذهبی و پذیرایی همراه چای",حلوا میکس (1.7 تا 2 کیلوگرم),Pastry,2rp1mw
1398995,حلوا و خرما,"75 تا 80 عدد، حلوا ویفری، چاپی، حلوا خرما، مناسب مراسم مذهبی و پذیرایی همراه چای",حلوا میکس (1.5 تا 1.6 کیلوگرم),Pastry,2rp1mw
1399001,شیرینی سنتی,± 50 گرم,حلوا زنجبیلی (600 گرم),Pastry,2rp1mw
1399013,شیرینی سنتی,"± 50 گرم، زولبیا و بامیه، شهد شکر، گلاب، زعفران، مناسب مراسم مذهبی و پذیرایی همراه چای",زولبیا و بامیه و گوشفیل یک کیلوگرم,Pastry,2rp1mw
1399350,خشکبار,± 50 گرم,خرما پیارم درجه یک یک کیلوگرم,,2o9r31
1399351,خشکبار,± 50 گرم,خرما زاهدی 500 گرم,,2o9r31
1399352,خشکبار,± 50 گرم,خرما خاصویی 500 گرم,,2o9r31
1399353,خشکبار,± 50 گرم,چیپس خرما ۵۰۰ گرم,,2o9r31
1399722,رولت حلوا,,رولت خرما دوازده عدد,Restaurant,566kwo
1399723,حلوا مدرن,,حلوا مدرن دارچینی ۴۰ عدد,Restaurant,566kwo
1399726,حلوا مدرن,,حلوا مدرن رنگینک ۴۰ عدد,Restaurant,566kwo
1399727,حلوا مدرن,,حلوا مدرن هل و گردو ۴۰ عدد,Restaurant,566kwo
1399729,حلوا مدرن,,حلوا مدرن زعفران نارگیل ۴۰ عدد,Restaurant,566kwo
1399730,حلوا مدرن,,حلوا مدرن برشتوک ۴۰ عدد,Restaurant,566kwo
1399732,حلوا مدرن,,حلوا مدرن بادام زمینی ۴۰ عدد,Restaurant,566kwo
1399733,حلوا مدرن,,حلوا مدرن ماربل ۴۰ عدد,Restaurant,566kwo
1399734,حلوا مدرن,,حلوا مدرن گل سرخ و بادام ۴۰ عدد,Restaurant,566kwo
1399735,حلوا مدرن,,حلوا مدرن زنجبیل گردو ۴۰ عدد,Restaurant,566kwo
1399736,حلوا مدرن,"پنج عدد زعفران نارگیلی، پنج عدد بادام زمینی، پنج عدد پاپ شکلات، پنج عدد پسته، پنج عدد شکلات فندق، پنج عدد زنجبیل گردو، پنج عدد سوهان",میکس حلوا مدرن (۳۵ عددی),Restaurant,566kwo
1399737,حلوا مدرن,"فندوق، شکلات، چهار عدد رنگینک، سع عدد پاپ شکلات، چهار عدد ماربل، سه عدد پسته ای، چهار عدد دبی چاکلت
",میکس حلوا مدرن (21 عددی),Restaurant,566kwo
1404000,حلوا,,حلوا کادایف ترکی (200 گرم),Restaurant,566kwo
1404001,حلوا,,حلوا سمولینا ایرمیک 400 گرم,Restaurant,566kwo
1404038,کیک,"رژیمی، شیره خرما، آرد جو دوسر",کوکی توت و خرما,Cafe,5p84po
1404392,نان شیرین,,نان حلوا (60 عدد),Pastry,5rwy8p
1409704,غذای دریایی,"۳۵۰ گرم ماهی حلوا سفید سرخ شده، خیارشور، سبزی خوردن، فلفل تند",ماهی حلوا سفید( ذبیدی),Restaurant,2ply1w
1409875,شیرینی خشک, ±۵۰ گرم,زولبیا و بامیه 500 گرم,Pastry,2kkmr4
1411309,محصولات مراسم ترحیم,"خرما درجه یک رطب، گردو اعلا
دارای سینی و سلفون آماده پذیرایی",خرما گردو مجلسی (۷۰ عددی),Pastry,21lx17
1411310,محصولات مراسم ترحیم,"حلوا, نون بستنی رولتی
دارای سینی و سلفون آماده پذیرایی",رولت حلوا مجلسی (۸۰ تا ۹۰ عدد),Pastry,21lx17
1417909,خرما,±50 گرم,چیپس خرما پیارم با گل محمدی ۱۵۰ گرم,,5rpmyo
1417918,خرما, ,چیپس خرما طعم دار (284 گرم),,56rpr9
